ID;Superkingdom;Kingdom;Subkingdom;Infrakingdom;Superphylum;Phylum;Subphylum;Infraphylum;Parvphylum;Superclass;Class;Subclass;Infraclass;Superorder;Order;Family;BHL;BOLD;EOL;GBIF;NCBI;GGBN;BHL_Percentile;BOLD_Percentile;EOL_Percentile;GBIF_Percentile;NCBI_Percentile;GGBN_Percentile;GGI score;Reference
Caldisericales-Caldisericaceae;Prokaryota;Bacteria;Negibacteria;;;Caldiserica;;;;;Caldisericia;;;;Caldisericales;Caldisericaceae;0;0;0;0;183;0;0;0;0;0;73;0;13;NCBI, 2013
Chlamydiales-Chlamydiaceae;Prokaryota;Bacteria;Negibacteria;;;Chlamydiae;;;;;Chlamydiae;;;;Chlamydiales;Chlamydiaceae;0;0;3;0;71372;0;0;0;76;0;97;0;29;"NCBI, 2013; Garrity et al., 2007"
Chlamydiales-Parachlamydiaceae;Prokaryota;Bacteria;Negibacteria;;;Chlamydiae;;;;;Chlamydiae;;;;Chlamydiales;Parachlamydiaceae;0;0;0;0;4306;0;0;0;0;0;91;0;16;"NCBI, 2013; Garrity et al., 2007"
Chlamydiales-Simkaniaceae;Prokaryota;Bacteria;Negibacteria;;;Chlamydiae;;;;;Chlamydiae;;;;Chlamydiales;Simkaniaceae;0;0;0;0;69;0;0;0;0;0;63;0;11;"NCBI, 2013; Garrity et al., 2007"
Chlamydiales-Waddliaceae;Prokaryota;Bacteria;Negibacteria;;;Chlamydiae;;;;;Chlamydiae;;;;Chlamydiales;Waddliaceae;0;0;0;0;121;0;0;0;0;0;69;0;12;"NCBI, 2013; Garrity et al., 2007"
Chlorobiales-Chlorobiaceae;Prokaryota;Bacteria;Negibacteria;;;Chlorobi;;;;;Chlorobia;;;;Chlorobiales;Chlorobiaceae;0;0;0;0;2273;0;0;0;0;0;90;0;15;"NCBI, 2013; Garrity et al., 2007"
Ignavibacteriales-Ignavibacteriaceae;Prokaryota;Bacteria;Negibacteria;;;Chlorobi;;;;;Ignavibacteria;;;;Ignavibacteriales;Ignavibacteriaceae;0;0;0;0;46;0;0;0;0;0;59;0;10;NCBI, 2013
Ignavibacteriales-Melioribacteraceae;Prokaryota;Bacteria;Negibacteria;;;Chlorobi;;;;;Ignavibacteria;;;;Ignavibacteriales;Melioribacteraceae;0;0;0;0;12;0;0;0;0;0;44;0;8;NCBI, 2013
Chrysiogenales-Chrysiogenaceae;Prokaryota;Bacteria;Negibacteria;;;Chrysiogenetes;;;;;Chrysiogenetes;;;;Chrysiogenales;Chrysiogenaceae;0;0;0;0;0;0;0;0;0;0;0;0;0;"NCBI, 2013; Garrity et al., 2007"
Prochlorales-Prochloraceae;Prokaryota;Bacteria;Negibacteria;;;Cyanobacteria;Phycobacteria;;;;Chroobacteria;;;;Prochlorales;Prochloraceae;0;0;0;0;12035;0;0;0;0;0;93;0;16;NCBI, 2013
Prochlorales-Prochlorococcaceae;Prokaryota;Bacteria;Negibacteria;;;Cyanobacteria;Phycobacteria;;;;Chroobacteria;;;;Prochlorales;Prochlorococcaceae;0;0;0;0;67538;0;0;0;0;0;96;0;16;NCBI, 2013
Prochlorales-Prochlorotrichaceae;Prokaryota;Bacteria;Negibacteria;;;Cyanobacteria;Phycobacteria;;;;Chroobacteria;;;;Prochlorales;Prochlorotrichaceae;0;0;0;0;2653;0;0;0;0;0;90;0;15;NCBI, 2013
Nostocales-Microchaetaceae;Prokaryota;Bacteria;Negibacteria;;;Cyanobacteria;Phycobacteria;;;;Hormogoniae;;;;Nostocales;Microchaetaceae;0;0;0;0;853;0;0;0;0;0;85;0;15;NCBI, 2013
Deferribacterales-Deferribacteraceae;Prokaryota;Bacteria;Negibacteria;;;Deferribacteres;;;;;Deferribacteres;;;;Deferribacterales;Deferribacteraceae;0;0;0;0;331;0;0;0;0;0;78;0;13;"NCBI, 2013; Garrity et al., 2007"
Deinococcales-Deinococcaceae;Prokaryota;Bacteria;Negibacteria;;;Deinococcus-Thermus;;;;;Deinococci;;;;Deinococcales;Deinococcaceae;0;0;1;0;6282;0;0;0;59;0;92;0;26;"NCBI, 2013; Garrity et al., 2007"
Deinococcales-Trueperaceae;Prokaryota;Bacteria;Negibacteria;;;Deinococcus-Thermus;;;;;Deinococci;;;;Deinococcales;Trueperaceae;0;0;0;0;79;0;0;0;0;0;65;0;11;"NCBI, 2013; Garrity et al., 2007"
Thermales-Thermaceae;Prokaryota;Bacteria;Negibacteria;;;Deinococcus-Thermus;;;;;Deinococci;;;;Thermales;Thermaceae;0;0;1;0;8932;0;0;0;59;0;93;0;26;"NCBI, 2013; Garrity et al., 2007"
Dictyoglomales-Dictyoglomaceae;Prokaryota;Bacteria;Negibacteria;;;Dictyoglomi;;;;;Dictyoglomia;;;;Dictyoglomales;Dictyoglomaceae;0;0;0;0;119;0;0;0;0;0;68;0;12;"NCBI, 2013; Garrity et al., 2007"
Elusimicrobiales-Elusimicrobiaceae;Prokaryota;Bacteria;Negibacteria;;;Elusimicrobia;;;;;Elusimicrobia;;;;Elusimicrobiales;Elusimicrobiaceae;0;0;0;0;241;0;0;0;0;0;75;0;13;NCBI, 2013
Fibrobacterales-Fibrobacteraceae;Prokaryota;Bacteria;Negibacteria;;;Fibrobacteres;;;;;Fibrobacteria;;;;Fibrobacterales;Fibrobacteraceae;0;0;0;0;627;0;0;0;0;0;83;0;14;"NCBI, 2013; Garrity et al., 2007"
Fusobacteriales-Fusobacteriaceae;Prokaryota;Bacteria;Negibacteria;;;Fusobacteria;;;;;Fusobacteriia;;;;Fusobacteriales;Fusobacteriaceae;0;0;0;0;23589;0;0;0;0;0;94;0;16;"NCBI, 2013; Garrity et al., 2007"
Fusobacteriales-Leptotrichiaceae;Prokaryota;Bacteria;Negibacteria;;;Fusobacteria;;;;;Fusobacteriia;;;;Fusobacteriales;Leptotrichiaceae;0;0;0;0;4233;0;0;0;0;0;91;0;16;NCBI, 2013
